trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
191_20121001,20:21:00,20:21:00,San Francisco,22,,,
192_20121001,20:40:00,20:40:00,San Francisco,1,,,
192_20121001,20:45:00,20:45:00,22nd Street,2,,,
192_20121001,20:50:00,20:50:00,Bayshore,3,,,
192_20121001,20:56:00,20:56:00,So. San Francisco,4,,,
192_20121001,21:00:00,21:00:00,San Bruno,5,,,
192_20121001,21:04:00,21:04:00,Millbrae,6,,,
192_20121001,21:08:00,21:08:00,Burlingame,7,,,
192_20121001,21:11:00,21:11:00,San Mateo,8,,,
192_20121001,21:14:00,21:14:00,Hayward Park,9,,,
192_20121001,21:17:00,21:17:00,Hillsdale,10,,,
192_20121001,21:20:00,21:20:00,Belmont,11,,,
192_20121001,21:23:00,21:23:00,San Carlos,12,,,
192_20121001,21:28:00,21:28:00,Redwood City,13,,,
192_20121001,21:33:00,21:33:00,Menlo Park,14,,,
192_20121001,21:36:00,21:36:00,Palo Alto,15,,,
192_20121001,21:40:00,21:40:00,California Ave,16,,,
192_20121001,21:44:00,21:44:00,San Antonio,17,,,
192_20121001,21:48:00,21:48:00,Mountain View,18,,,
192_20121001,21:53:00,21:53:00,Sunnyvale,19,,,
192_20121001,21:57:00,21:57:00,Lawrence,20,,,
192_20121001,22:02:00,22:02:00,Santa Clara,21,,,
